	Ch0	Gen
	18:31.0	18:31.0
	4.00E-05	4.00E-05
		
Time	Ch0	Gen
0.02464	-2.47E-03	6.01E-03
0.02468	-2.79E-03	5.36E-03
0.02472	-2.79E-03	5.68E-03
0.02476	-2.14E-03	6.33E-03
0.0248	-2.14E-03	5.36E-03
0.02484	-2.47E-03	5.68E-03
0.02488	-1.82E-03	6.01E-03
0.02492	-2.47E-03	6.66E-03
0.02496	-1.82E-03	5.68E-03
0.025	8.32E-01	8.29E-03
0.02504	9.96E-01	1.87E-02
0.02508	9.97E-01	2.75E-02
0.02512	9.98E-01	3.67E-02
0.02516	9.97E-01	4.64E-02
0.0252	9.97E-01	5.39E-02
0.02524	9.97E-01	6.24E-02
0.02528	9.97E-01	7.02E-02
0.02532	9.97E-01	7.94E-02
0.02536	9.97E-01	8.65E-02
0.0254	9.97E-01	9.47E-02
0.02544	9.98E-01	1.03E-01
0.02548	9.97E-01	1.10E-01
0.02552	9.97E-01	1.18E-01
0.02556	9.98E-01	1.24E-01
0.0256	9.97E-01	1.32E-01
0.02564	9.97E-01	1.40E-01
0.02568	9.98E-01	1.47E-01
0.02572	9.97E-01	1.55E-01
0.02576	9.96E-01	1.60E-01
0.0258	9.98E-01	1.68E-01
0.02584	9.97E-01	1.75E-01
0.02588	9.97E-01	1.82E-01
0.02592	9.97E-01	1.89E-01
0.02596	9.97E-01	1.95E-01
0.026	9.97E-01	2.02E-01
0.02604	9.97E-01	2.09E-01
0.02608	9.97E-01	2.15E-01
0.02612	9.97E-01	2.21E-01
0.02616	9.97E-01	2.28E-01
0.0262	9.97E-01	2.35E-01
0.02624	9.97E-01	2.40E-01
0.02628	9.97E-01	2.47E-01
0.02632	9.97E-01	2.53E-01
0.02636	9.97E-01	2.59E-01
0.0264	9.97E-01	2.66E-01
0.02644	9.97E-01	2.71E-01
0.02648	9.98E-01	2.77E-01
0.02652	9.97E-01	2.83E-01
0.02656	9.97E-01	2.90E-01
0.0266	9.97E-01	2.95E-01
0.02664	9.97E-01	3.01E-01
0.02668	9.97E-01	3.06E-01
0.02672	9.97E-01	3.12E-01
0.02676	9.97E-01	3.17E-01
0.0268	9.97E-01	3.24E-01
0.02684	9.97E-01	3.29E-01
0.02688	9.97E-01	3.34E-01
0.02692	9.97E-01	3.39E-01
0.02696	9.97E-01	3.45E-01
0.027	9.96E-01	3.50E-01
0.02704	9.97E-01	3.56E-01
0.02708	9.96E-01	3.61E-01
0.02712	9.97E-01	3.66E-01
0.02716	9.96E-01	3.71E-01
0.0272	9.97E-01	3.77E-01
0.02724	9.97E-01	3.81E-01
0.02728	9.97E-01	3.86E-01
0.02732	9.97E-01	3.91E-01
0.02736	9.97E-01	3.97E-01
0.0274	9.97E-01	4.01E-01
0.02744	9.97E-01	4.07E-01
0.02748	9.98E-01	4.11E-01
0.02752	9.98E-01	4.15E-01
0.02756	9.97E-01	4.20E-01
0.0276	9.97E-01	4.25E-01
0.02764	9.97E-01	4.29E-01
0.02768	9.97E-01	4.34E-01
0.02772	9.97E-01	4.39E-01
